,product_titles,ratings,descriptions,variants,prices
0,3kg Concept for Life Dry Cat Food - Special Price!*,Rating: 5/5,"Now when you buy selected 3kg Concept for Life Dry Cat Food, in a range of varieties tailored to meet your cat's nutritional needs, you'll pay a special price!",Adult British Shorthair (3kg),£15.99
0,3kg Concept for Life Dry Cat Food - Special Price!*,Rating: 5/5,"Now when you buy selected 3kg Concept for Life Dry Cat Food, in a range of varieties tailored to meet your cat's nutritional needs, you'll pay a special price!",Adult Persian (3kg),£15.99
0,3kg Concept for Life Dry Cat Food - Special Price!*,Rating: 5/5,"Now when you buy selected 3kg Concept for Life Dry Cat Food, in a range of varieties tailored to meet your cat's nutritional needs, you'll pay a special price!",Beauty Adult (3kg),£17.19
0,3kg Concept for Life Dry Cat Food - Special Price!*,Rating: 5/5,"Now when you buy selected 3kg Concept for Life Dry Cat Food, in a range of varieties tailored to meet your cat's nutritional needs, you'll pay a special price!",Outdoor (3kg),£14.79
0,3kg Concept for Life Dry Cat Food - Special Price!*,Rating: 5/5,"Now when you buy selected 3kg Concept for Life Dry Cat Food, in a range of varieties tailored to meet your cat's nutritional needs, you'll pay a special price!",Oral Care (3kg),£17.19
1,Hill's Science Plan Mature Adult Chicken,Rating: 5/5,"Wholesome dry food specially tailored to the needs of senior cats over 7 years, with a high content of vitamins C and E to support a healthy immune system, with high-quality protein.",1.5kg,£15.99
1,Hill's Science Plan Mature Adult Chicken,Rating: 5/5,"Wholesome dry food specially tailored to the needs of senior cats over 7 years, with a high content of vitamins C and E to support a healthy immune system, with high-quality protein.",3kg,£26.49
1,Hill's Science Plan Mature Adult Chicken,Rating: 5/5,"Wholesome dry food specially tailored to the needs of senior cats over 7 years, with a high content of vitamins C and E to support a healthy immune system, with high-quality protein.",10kg,£58.09
1,Hill's Science Plan Mature Adult Chicken,Rating: 5/5,"Wholesome dry food specially tailored to the needs of senior cats over 7 years, with a high content of vitamins C and E to support a healthy immune system, with high-quality protein.",Economy Pack: 2 x 10kg,£114.49
1,Hill's Science Plan Mature Adult Chicken,Rating: 5/5,"Wholesome dry food specially tailored to the needs of senior cats over 7 years, with a high content of vitamins C and E to support a healthy immune system, with high-quality protein.",Complementary: 12 x 85g Mature Adult Fish Selection,£10.99
2,400g Cosma Dry Cat Food - Special Price! *new,Not Rated,"Now when you buy 400g Cosma Dry Cat Food, The tried and tested Cosma treat, a 100% grain-free recipe with delicious, fresh meat, You'll get it for a special price!",Beef & Chicken Dry Food (400g),£4.19
